subject,run,layer,modality,data,volume,focus
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,0.5494414567947388,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,1.1704105138778687,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,1.1498899459838867,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,1.779747486114502,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,4.282895088195801,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,6.434112071990967,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,2.788443088531494,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,7.2210373878479,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,13.010636329650879,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,2.549039125442505,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,7.267045497894287,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,14.98948860168457,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,1.2604684829711914,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,4.553825855255127,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,10.75922679901123,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,-0.04284302145242691,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,1.463559865951538,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,4.612454414367676,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,-0.5905320048332214,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,-0.30523550510406494,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,0.28110092878341675,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,-0.4011678695678711,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,-0.4411514103412628,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,-0.8556128740310669,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,-0.06089458242058754,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,0.03951575234532356,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,-0.24005955457687378,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,0.028304995968937874,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,0.1432773768901825,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,0.2037361115217209,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,-0.18211178481578827,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,-0.9646227955818176,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,-4.300266742706299,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,0.04498319327831268,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,0.043293748050928116,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,-3.285496950149536,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,0.7194299101829529,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,2.839653730392456,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,4.09903621673584,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,1.2759263515472412,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,4.672308921813965,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,10.598464965820312,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,1.1821119785308838,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,4.255397319793701,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,10.901566505432129,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,0.3764478266239166,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,2.612168550491333,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,6.847960472106934,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,-0.05461372807621956,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,0.7986842393875122,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,1.7770944833755493,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,-0.02297613024711609,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,-0.2241235077381134,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,-0.8463447690010071,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,-0.11901368200778961,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,-0.39490944147109985,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,-0.8381139039993286,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,-0.09342459589242935,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,-0.040301430970430374,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,0.07849209010601044,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,0.7992569208145142,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,1.0543856620788574,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,1.3627357482910156,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,2.4772515296936035,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,4.445499420166016,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,6.879321575164795,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,3.8807930946350098,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,7.902270317077637,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,13.681571006774902,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,3.9292964935302734,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,8.429527282714844,4,v1
