subject,data,modality,layer,stimType,contrast,focus,runType
sub-05,3.765008599651376,BOLD,1,blockStim,visiotactile,v1,blockStim
sub-05,5.449342543508816,BOLD,2,blockStim,visiotactile,v1,blockStim
sub-05,7.004664660626908,BOLD,3,blockStim,visiotactile,v1,blockStim
sub-05,7.61397153592628,BOLD,4,blockStim,visiotactile,v1,blockStim
sub-05,8.862584466735521,BOLD,5,blockStim,visiotactile,v1,blockStim
sub-05,10.533945508094298,BOLD,6,blockStim,visiotactile,v1,blockStim
sub-05,13.267014568069376,BOLD,7,blockStim,visiotactile,v1,blockStim
sub-05,15.851147796487291,BOLD,8,blockStim,visiotactile,v1,blockStim
sub-05,19.08199796295166,BOLD,9,blockStim,visiotactile,v1,blockStim
sub-05,21.231548928377922,BOLD,10,blockStim,visiotactile,v1,blockStim
sub-05,21.967971779051283,BOLD,11,blockStim,visiotactile,v1,blockStim
sub-05,0.47416176985743946,VASO,1,blockStim,visiotactile,v1,blockStim
sub-05,1.0826517154921864,VASO,2,blockStim,visiotactile,v1,blockStim
sub-05,1.9700258887936304,VASO,3,blockStim,visiotactile,v1,blockStim
sub-05,2.6677150717988516,VASO,4,blockStim,visiotactile,v1,blockStim
sub-05,3.1696582061918916,VASO,5,blockStim,visiotactile,v1,blockStim
sub-05,3.593740257124106,VASO,6,blockStim,visiotactile,v1,blockStim
sub-05,4.023326762860879,VASO,7,blockStim,visiotactile,v1,blockStim
sub-05,4.544016368122715,VASO,8,blockStim,visiotactile,v1,blockStim
sub-05,5.63937291097641,VASO,9,blockStim,visiotactile,v1,blockStim
sub-05,7.0069435857759235,VASO,10,blockStim,visiotactile,v1,blockStim
sub-05,8.21412970338549,VASO,11,blockStim,visiotactile,v1,blockStim
sub-05,1.3984321429992892,BOLD,1,blockStim,visiotactile,s1,blockStim
sub-05,1.674460680379222,BOLD,2,blockStim,visiotactile,s1,blockStim
sub-05,1.6706162934923279,BOLD,3,blockStim,visiotactile,s1,blockStim
sub-05,1.649674736518556,BOLD,4,blockStim,visiotactile,s1,blockStim
sub-05,1.5428294032238996,BOLD,5,blockStim,visiotactile,s1,blockStim
sub-05,1.809801975780345,BOLD,6,blockStim,visiotactile,s1,blockStim
sub-05,2.318242810104253,BOLD,7,blockStim,visiotactile,s1,blockStim
sub-05,3.0541095400965492,BOLD,8,blockStim,visiotactile,s1,blockStim
sub-05,4.086494713035576,BOLD,9,blockStim,visiotactile,s1,blockStim
sub-05,5.305153971368616,BOLD,10,blockStim,visiotactile,s1,blockStim
sub-05,7.008939530168261,BOLD,11,blockStim,visiotactile,s1,blockStim
sub-05,0.9577350256343683,VASO,1,blockStim,visiotactile,s1,blockStim
sub-05,1.1288117322915545,VASO,2,blockStim,visiotactile,s1,blockStim
sub-05,1.2599033476518733,VASO,3,blockStim,visiotactile,s1,blockStim
