subject,run,nrTrials,score,modality,currentAverage,focus
sub-05,sub-05_ses-001_task-eventStim_run-001,1,15.604174670489483,BOLD,"[-1.73808185 -2.51964771 -2.4323318   0.41201871  3.03605484  2.47255823
  0.57492149 -0.33537305 -0.15517047  0.68505159]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,2,4.467255413905675,BOLD,"[-0.47696363 -1.32289384 -1.18913459  0.65315169  2.35744872  2.08762204
  0.55376015 -1.0222249  -1.48531703 -0.15544861]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,3,5.487440799558423,BOLD,"[-1.10695896 -1.0644075  -0.14127622  1.28555614  2.20756583  1.7806996
  0.34249616 -1.35962906 -1.83030932 -0.11373667]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,4,8.189818062751346,BOLD,"[-1.36656952 -1.45612005 -0.14127631  1.63797916  2.45108106  1.72319446
 -0.02056977 -1.63303033 -1.540083    0.34539431]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,5,4.857921582975037,BOLD,"[-0.72854386 -1.3322736  -0.54909192  1.23107847  2.35999825  1.81403373
  0.17209261 -1.36844433 -1.49441518 -0.10443418]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,6,6.211936557226326,BOLD,"[-0.78861235 -1.39038784 -0.58302549  1.37087339  2.62613584  1.90987881
  0.0759337  -1.42583998 -1.52837129 -0.26658479]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,7,6.383448400918245,BOLD,"[-0.85129295 -1.36500532 -0.58429274  1.28379041  2.6180842   2.08135532
  0.22296866 -1.41588513 -1.5987725  -0.39094993]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,8,4.408628494488577,BOLD,"[-0.60939947 -1.3665646  -0.76656906  0.97850857  2.34455428  1.98845189
  0.25525132 -1.29656474 -1.36939705 -0.15827115]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,9,3.7865073075346527,BOLD,"[-0.44510667 -1.21335324 -0.78475186  0.84393416  2.19533581  1.93096287
  0.30470861 -1.29381302 -1.44296811 -0.09494854]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,10,4.056465286948256,BOLD,"[-0.31471283 -1.20335135 -0.89358386  0.81655046  2.28539689  1.9915205
  0.31689925 -1.27284379 -1.47399032 -0.25188497]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,11,3.7046889230654365,BOLD,"[-0.36801848 -1.23669618 -0.9470096   0.70223492  2.20109233  2.0105581
  0.35811492 -1.22728177 -1.35896631 -0.13402793]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,12,3.5065421993781487,BOLD,"[-0.16888085 -1.08439061 -0.94733901  0.61137975  2.08977143  1.94240649
  0.34907501 -1.27802798 -1.44473784 -0.06925639]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,13,3.731960021435024,BOLD,"[-0.16039875 -1.1659364  -1.08188787  0.59011831  2.16103769  1.91448893
  0.24653222 -1.27049414 -1.31533221  0.08187221]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,14,3.61232934626552,BOLD,"[-0.07536456 -1.19218233 -1.1281449   0.52569108  2.10282194  1.91962067
  0.28113307 -1.23427446 -1.27783099  0.07853047]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,15,3.372477780288926,BOLD,"[ 0.01094658 -1.13104086 -1.07306569  0.52554143  2.04271999  1.86297363
  0.24813909 -1.24871333 -1.28680734  0.04930651]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,16,3.1363470702303977,BOLD,"[ 0.02467649 -1.12325429 -1.06650374  0.49798088  2.00961784  1.88244743
  0.31029809 -1.1906948  -1.28369472 -0.06087319]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,17,2.931139160770772,BOLD,"[-0.06094642 -1.16315286 -1.07521565  0.5172607   2.02882394  1.86106634
  0.29536989 -1.13125092 -1.20477434 -0.06718068]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,18,2.930321680453767,BOLD,"[-0.07163587 -1.12516707 -1.0227767   0.57557141  2.07067723  1.85955087
  0.27497594 -1.14484892 -1.24589992 -0.17044697]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,19,2.6030484530555866,BOLD,"[-0.19841575 -1.15127131 -0.97053646  0.60748289  2.02101998  1.77307295
  0.22170136 -1.12503973 -1.14662428 -0.03138965]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,20,2.585371377195208,BOLD,"[-0.19624389 -1.14914224 -0.9790058   0.59055316  2.02497864  1.83753279
  0.33144501 -1.07251652 -1.21220876 -0.1753924 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,21,2.262801841714987,BOLD,"[-0.25923321 -1.1883331  -0.98515148  0.55720411  1.95392694  1.77524547
  0.32934834 -1.00432035 -1.109136   -0.06955073]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,22,2.127699566606832,BOLD,"[-0.27043999 -1.16831189 -0.97108452  0.52810565  1.91111214  1.75984976
  0.32618085 -0.99916616 -1.07803624 -0.03820959]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,23,1.9468052749321982,BOLD,"[-0.17617693 -1.08617946 -0.94755293  0.50671536  1.87502138  1.7454024
  0.34669258 -0.98505508 -1.12406063 -0.1548067 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,24,1.9773309115763458,BOLD,"[-0.20356809 -1.09995993 -0.94260855  0.51415272  1.88201225  1.76690348
  0.38329492 -0.97140288 -1.1497924  -0.17903152]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,25,2.083356301903343,BOLD,"[-0.23533679 -1.13924179 -0.94796764  0.53194365  1.90776671  1.80413657
  0.41038115 -0.96587956 -1.15883283 -0.20696948]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,26,1.949343006581707,BOLD,"[-0.24161374 -1.1316179  -0.92853419  0.52548764  1.88147951  1.80428785
  0.45488372 -0.91777736 -1.16237151 -0.28422401]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,27,1.7814684438786375,BOLD,"[-0.32185172 -1.2146242  -1.00498042  0.46801081  1.84424402  1.78093418
  0.47970015 -0.80525699 -1.01642724 -0.20974858]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,28,1.650576015043931,BOLD,"[-0.30454695 -1.15480551 -0.95439227  0.50154018  1.85211689  1.75351414
  0.4450208  -0.81661472 -1.03380469 -0.28802788]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,29,1.7168392756864435,BOLD,"[-0.29712283 -1.14904742 -0.95349449  0.52599887  1.89063806  1.7633171
  0.43184845 -0.82091319 -1.04693346 -0.34429107]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,30,1.8178995015823114,BOLD,"[-0.35503168 -1.17453003 -0.94364081  0.54421094  1.91171072  1.78658489
  0.42459536 -0.84994269 -1.04186623 -0.30209047]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,31,1.8829975038959141,BOLD,"[-0.40051832 -1.13497983 -0.88847347  0.56870282  1.93291913  1.82195519
  0.43738805 -0.87635487 -1.08990092 -0.37073779]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,32,2.0948090831116093,BOLD,"[-0.467099   -1.17672285 -0.90316869  0.59870971  1.9867668   1.85328805
  0.4402493  -0.88564854 -1.09760448 -0.34877029]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,33,2.131185326116181,BOLD,"[-0.4667286  -1.15977787 -0.84394847  0.66505527  2.00837083  1.83672864
  0.41447237 -0.91396097 -1.1365189  -0.4036923 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,34,2.0600513567572722,BOLD,"[-0.55093334 -1.21711106 -0.88859638  0.61550953  1.97598087  1.84413407
  0.44428166 -0.86402131 -1.04677254 -0.31247149]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,35,1.9867008617638626,BOLD,"[-0.52465614 -1.13804589 -0.83778949  0.60494195  1.95885325  1.85314371
  0.44787227 -0.88903004 -1.09622622 -0.37906341]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,36,2.0028208196790045,BOLD,"[-0.54551058 -1.13812665 -0.82418498  0.61133065  1.95951692  1.8646296
  0.46750022 -0.87659591 -1.10517768 -0.41338158]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,37,1.9804661465426143,BOLD,"[-0.5703174  -1.15221517 -0.83334413  0.59350957  1.9446784   1.8657401
  0.47017215 -0.87293389 -1.08116948 -0.36412016]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,38,1.9620159666465318,BOLD,"[-0.52093746 -1.12276836 -0.84669558  0.55640479  1.91481037  1.87847825
  0.51490096 -0.86909674 -1.12709637 -0.37799985]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,39,1.974322101075821,BOLD,"[-0.4332765  -1.09395761 -0.87879104  0.53794376  1.92582187  1.87488874
  0.49378677 -0.88391104 -1.14150518 -0.40099977]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,40,2.1044684107474776,BOLD,"[-0.47422474 -1.10803774 -0.865506    0.56849996  1.9565371   1.89326236
  0.49899667 -0.89700308 -1.1675124  -0.40501214]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,41,2.154953494980752,BOLD,"[-0.51593773 -1.15317484 -0.87703902  0.58003526  1.96548665  1.90008423
  0.50790437 -0.88365209 -1.14675703 -0.37694979]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,42,2.1517932589365483,BOLD,"[-0.49322003 -1.14418541 -0.87383686  0.57383294  1.95911953  1.89984193
  0.49331623 -0.90845589 -1.14824434 -0.35816809]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,43,2.1703050493959046,BOLD,"[-0.45341018 -1.1315767  -0.8508598   0.6008434   1.96630067  1.88665393
  0.46268902 -0.94530623 -1.17004348 -0.36529064]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,44,2.0529049212721615,BOLD,"[-0.48312489 -1.11357923 -0.8163767   0.61291226  1.94851589  1.86356097
  0.46002655 -0.92961644 -1.16158735 -0.38073106]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,45,2.0482892989001527,BOLD,"[-0.47496997 -1.09689633 -0.8015812   0.61210139  1.94281025  1.86479178
  0.45597465 -0.94263326 -1.1733428  -0.3862545 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,46,2.0414792530617416,BOLD,"[-0.52918797 -1.11452252 -0.79404187  0.61927823  1.94180891  1.86365912
  0.45767365 -0.9340525  -1.15211675 -0.3584983 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,47,1.9675306929097616,BOLD,"[-0.5209484  -1.11685132 -0.79572187  0.61066535  1.92262621  1.8430644
  0.43612837 -0.94322524 -1.125487   -0.31025049]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,48,2.0206553357373864,BOLD,"[-0.48218837 -1.09589876 -0.79833902  0.60926206  1.93159181  1.85426582
  0.44370269 -0.95616712 -1.16312683 -0.34310229]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,49,2.0865519718252123,BOLD,"[-0.52999163 -1.10984953 -0.77250814  0.64151361  1.9488906   1.85940155
  0.44669046 -0.95719121 -1.17406007 -0.35289564]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,50,2.1514854627052857,BOLD,"[-0.52818473 -1.11029564 -0.76218349  0.65522008  1.96072106  1.87504351
  0.46509059 -0.95107481 -1.20235871 -0.40197786]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,51,2.0590659875136534,BOLD,"[-0.53660291 -1.14529244 -0.80828081  0.62879428  1.95452444  1.86269422
  0.461216   -0.91116189 -1.13857939 -0.36731151]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,52,1.9464350171666676,BOLD,"[-0.50758704 -1.112253   -0.80052512  0.62462541  1.9434358   1.84021039
  0.44533687 -0.90250962 -1.13014099 -0.40059269]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,53,2.006055244304841,BOLD,"[-0.51529224 -1.12461163 -0.79539824  0.6404075   1.95583411  1.85448205
  0.4664914  -0.88833864 -1.14565529 -0.44791901]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,54,2.054677288973915,BOLD,"[-0.52140575 -1.13715421 -0.80484369  0.63320576  1.95812272  1.87720888
  0.50407425 -0.86038637 -1.15594355 -0.49287803]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,55,2.078193688080137,BOLD,"[-0.5888529  -1.17311722 -0.80121344  0.65619268  1.97508673  1.86995019
  0.4898681  -0.84824559 -1.12070817 -0.45896036]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,56,1.8590528219825977,BOLD,"[-0.55131316 -1.15037924 -0.81646026  0.61643184  1.9291786   1.83646577
  0.48720933 -0.82014167 -1.0861807  -0.44481049]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,57,1.7410406641926413,BOLD,"[-0.55120867 -1.12940356 -0.79526992  0.61923103  1.91047795  1.81098118
  0.47721014 -0.80570176 -1.07177454 -0.46454186]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,58,1.7522356502626293,BOLD,"[-0.5546418  -1.14348087 -0.81377484  0.59878414  1.90409708  1.82192043
  0.48023642 -0.81088774 -1.05475327 -0.42749956]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,59,1.7461078917043047,BOLD,"[-0.50078261 -1.11002649 -0.81572604  0.59021241  1.90337517  1.8245561
  0.4836722  -0.81804022 -1.08416131 -0.47307921]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,60,1.7571326871234747,BOLD,"[-0.52891192 -1.11476492 -0.80301157  0.60198354  1.90643777  1.82442636
  0.48235491 -0.81988813 -1.0827123  -0.46591372]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,61,1.731229239761809,BOLD,"[-0.5437396  -1.12110821 -0.79882507  0.60481901  1.90186021  1.81677258
  0.48232476 -0.81129658 -1.07309253 -0.45771457]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,62,1.6258730288114362,BOLD,"[-0.50884702 -1.09104888 -0.78648513  0.59129206  1.8759639   1.79931823
  0.47885115 -0.80809049 -1.07478307 -0.47617076]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,63,1.7120450890475984,BOLD,"[-0.5287362  -1.10902944 -0.79825672  0.59911512  1.89799876  1.81610541
  0.48716419 -0.80543815 -1.07876355 -0.48015941]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,64,1.711285550429374,BOLD,"[-0.51516495 -1.09708736 -0.78182519  0.61041191  1.89703954  1.81273742
  0.49172441 -0.80317554 -1.10029616 -0.51436408]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,65,1.8211345543550188,BOLD,"[-0.52180451 -1.12240842 -0.81526425  0.596587    1.91162623  1.84417432
  0.52500516 -0.78994251 -1.109699   -0.51827401]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,66,1.8008981040660186,BOLD,"[-0.55595958 -1.133176   -0.80080506  0.60335816  1.90189381  1.83892908
  0.53435068 -0.78047083 -1.10548675 -0.50263352]",v1
