subject,data,modality,layer,stimType,contrast,focus,runType
sub-07,2.6361949363680464,BOLD,1,blockStim,visiotactile,v1,blockStim
sub-07,2.846600618522464,BOLD,2,blockStim,visiotactile,v1,blockStim
sub-07,3.6486112959233026,BOLD,3,blockStim,visiotactile,v1,blockStim
sub-07,5.2249757763477565,BOLD,4,blockStim,visiotactile,v1,blockStim
sub-07,7.782899603374207,BOLD,5,blockStim,visiotactile,v1,blockStim
sub-07,10.203567037703989,BOLD,6,blockStim,visiotactile,v1,blockStim
sub-07,11.30296058833767,BOLD,7,blockStim,visiotactile,v1,blockStim
sub-07,11.561305993764671,BOLD,8,blockStim,visiotactile,v1,blockStim
sub-07,10.64432672757191,BOLD,9,blockStim,visiotactile,v1,blockStim
sub-07,8.952996866837841,BOLD,10,blockStim,visiotactile,v1,blockStim
sub-07,8.538099480071857,BOLD,11,blockStim,visiotactile,v1,blockStim
sub-07,2.1934187502487967,VASO,1,blockStim,visiotactile,v1,blockStim
sub-07,2.295574465427483,VASO,2,blockStim,visiotactile,v1,blockStim
sub-07,2.5211899521072274,VASO,3,blockStim,visiotactile,v1,blockStim
sub-07,3.176767204011094,VASO,4,blockStim,visiotactile,v1,blockStim
sub-07,4.193121860061701,VASO,5,blockStim,visiotactile,v1,blockStim
sub-07,5.131124413217687,VASO,6,blockStim,visiotactile,v1,blockStim
sub-07,5.481558394219194,VASO,7,blockStim,visiotactile,v1,blockStim
sub-07,5.418373044056953,VASO,8,blockStim,visiotactile,v1,blockStim
sub-07,4.8031429762907,VASO,9,blockStim,visiotactile,v1,blockStim
sub-07,4.0637027201347715,VASO,10,blockStim,visiotactile,v1,blockStim
sub-07,3.5040231016614745,VASO,11,blockStim,visiotactile,v1,blockStim
sub-07,1.4325949512422085,BOLD,1,blockStim,visiotactile,s1,blockStim
sub-07,2.7048089032349014,BOLD,2,blockStim,visiotactile,s1,blockStim
sub-07,5.201873410993548,BOLD,3,blockStim,visiotactile,s1,blockStim
sub-07,8.6194140513738,BOLD,4,blockStim,visiotactile,s1,blockStim
sub-07,11.791045514020054,BOLD,5,blockStim,visiotactile,s1,blockStim
sub-07,14.671265265520882,BOLD,6,blockStim,visiotactile,s1,blockStim
sub-07,16.538953879300287,BOLD,7,blockStim,visiotactile,s1,blockStim
sub-07,17.101765288247,BOLD,8,blockStim,visiotactile,s1,blockStim
sub-07,16.303030366897584,BOLD,9,blockStim,visiotactile,s1,blockStim
sub-07,13.735789756442225,BOLD,10,blockStim,visiotactile,s1,blockStim
sub-07,11.940168770979035,BOLD,11,blockStim,visiotactile,s1,blockStim
sub-07,2.276138312369585,VASO,1,blockStim,visiotactile,s1,blockStim
sub-07,3.011321230846293,VASO,2,blockStim,visiotactile,s1,blockStim
