subject,data,modality,layer,contrast,focus,runType,session,design,statType
sub-05,4.08690216968672,BOLD,1,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,6.051456148175327,BOLD,2,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,7.85899300776698,BOLD,3,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,8.959457820616894,BOLD,4,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,10.573303398669612,BOLD,5,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,12.868316011141157,BOLD,6,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,16.649905073911622,BOLD,7,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,19.968664866505247,BOLD,8,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,23.63804140472412,BOLD,9,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,25.554285082900734,BOLD,10,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,25.9658145904541,BOLD,11,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,2.2218183166792937,BOLD,1,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,3.1636827404080834,BOLD,2,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,4.1248959726711485,BOLD,3,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,4.598868141031784,BOLD,4,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,5.867099722606255,BOLD,5,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,7.58297602333025,BOLD,6,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,10.12362741796594,BOLD,7,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,12.219931891470244,BOLD,8,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,14.280862785339355,BOLD,9,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,15.094092536390873,BOLD,10,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,15.159158184414817,BOLD,11,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,143.7949339226475,BOLD,1,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,220.45139910346566,BOLD,2,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,299.1501102212035,BOLD,3,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,351.80068464827093,BOLD,4,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,441.7731371162631,BOLD,5,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,577.7101602163166,BOLD,6,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,804.1119816715556,BOLD,7,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,1021.4699858463172,BOLD,8,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,1268.1721025390625,BOLD,9,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,1388.9346586528577,BOLD,10,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,1420.5360078357514,BOLD,11,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,281.12910964451436,BOLD,1,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,405.32253884083656,BOLD,2,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,539.7531425040445,BOLD,3,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,609.1888977044857,BOLD,4,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,813.438565359048,BOLD,5,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,1096.102225051986,BOLD,6,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,1515.4135332322658,BOLD,7,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,1860.9180505925958,BOLD,8,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,2206.390662109375,BOLD,9,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,2351.837057548657,BOLD,10,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,2366.7779046921505,BOLD,11,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,0.621869814017509,VASO,1,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,1.3334583943347622,VASO,2,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,2.258752833637926,VASO,3,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,3.0756503580751255,VASO,4,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,3.4797473471440004,VASO,5,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,3.8479855700602963,VASO,6,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,4.446376272162101,VASO,7,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,5.196573272432116,VASO,8,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,6.4992010145187376,VASO,9,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,7.601079503319373,VASO,10,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,8.818516041551318,VASO,11,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-05,0.20825947145198098,VASO,1,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,0.5785272360203058,VASO,2,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,0.9842950922471506,VASO,3,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,1.1716354040267027,VASO,4,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,1.459134002513391,VASO,5,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,1.7944026830373332,VASO,6,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,2.390257814212849,VASO,7,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,2.8684169118377296,VASO,8,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,3.450158613204956,VASO,9,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,3.938418377909744,VASO,10,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,4.402808504445212,VASO,11,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-05,21.62703268734489,VASO,1,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,45.38515492178788,VASO,2,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,75.46309286337576,VASO,3,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,101.32945928181181,VASO,4,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,114.18922715153255,VASO,5,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,128.47247795760632,VASO,6,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,153.66283901472738,VASO,7,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,190.1828616764961,VASO,8,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,266.3186817321777,VASO,9,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,353.6916231272513,VASO,10,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,439.299746740432,VASO,11,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-05,28.03509072055967,VASO,1,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,78.97526980137957,VASO,2,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,136.2119262424516,VASO,3,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,163.47461269508977,VASO,4,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,207.3093294704214,VASO,5,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,260.58591160840456,VASO,6,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,354.24923120763964,VASO,7,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,438.69371742190737,VASO,8,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,567.0454814453125,VASO,9,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,715.6222294589929,VASO,10,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,823.7664902096703,VASO,11,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-05,2.367111020854541,BOLD,1,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,3.064341338723898,BOLD,2,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,3.0586633549204896,BOLD,3,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,3.0493043434734526,BOLD,4,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,2.7358709283961127,BOLD,5,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,2.9891426837507713,BOLD,6,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,3.37345149635144,BOLD,7,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,4.29002935248752,BOLD,8,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,5.2704361560297945,BOLD,9,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,6.823074351657521,BOLD,10,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,8.642192678792137,BOLD,11,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,0.9319434487039134,BOLD,1,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.7100663139174382,BOLD,2,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.4590321847437216,BOLD,3,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.1638016001536296,BOLD,4,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.03143411667014544,BOLD,5,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,-0.11979251751240264,BOLD,6,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.03927642008605993,BOLD,7,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.09326957859272181,BOLD,8,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.7451266274948983,BOLD,9,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,1.990713969719681,BOLD,10,visuotactile,s1,eventStim,ses-001,eventStim,zstat
